name;first_name;age;nation;league;team;goals_selection;selections_nation;position;price;end_contract;goal_champ;assist_champ;own_goal_champ;sub_on_champ;sub_out_champ;yellow_card_champ;second_yellow_card_champ;red_card_champ;penalty_goal_champ;goal_cup;assist_cup;own_goal_cup;sub_on_cup;sub_out_cup;yellow_card_cup;second_yellow_card_cup;red_card_cup;penalty_goal_cup;goal_continent;assist_continent;own_goal_continent;sub_on_continent;sub_out_continent;yellow_card_continent;second_yellow_card_continent;red_card_continent;penalty_goal_continent
Cyprien;Wylan;24;France;Ligue1;OGCNice;1;2;CentralMidfield;14000000;3;23;12;0;27;32;24;1;0;1;0;0;0;4;2;4;0;0;0;1;0;0;2;2;0;0;0;0
Torres;Óliver;24;Spain;LigaNOS;FCPorto;3;24;CentralMidfield;14000000;3;13;17;0;61;51;12;0;0;0;0;6;0;12;7;4;0;0;0;1;2;0;12;10;5;0;0;0
Augusto;Renato;30;Brazil;SuperLeague;BJSinoboGuoan;6;32;CentralMidfield;14000000;3;40;67;0;41;89;21;0;0;3;2;4;0;1;4;0;0;0;0;1;5;0;4;14;1;0;0;0
Zobnin;Roman;24;Russia;PremierLiga;SpartakMoscow;0;21;CentralMidfield;13000000;3;4;9;0;24;19;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
Dzagoev;Alan;28;Russia;PremierLiga;CSKAMoscow;9;59;CentralMidfield;13000000;1;64;81;0;32;108;45;1;3;4;0;0;0;0;0;0;0;0;0;10;7;0;7;18;7;0;1;0
Gerson;;21;Brazil;SerieA;Fiorentina;0;10;CentralMidfield;13000000;1;5;6;0;30;37;14;0;1;0;0;1;0;2;1;0;0;0;0;0;1;0;7;3;0;0;0;0
Fofana;Seko;23;Coted'Ivoire;SerieA;UdineseCalcio;0;1;CentralMidfield;13000000;4;20;10;0;26;36;20;0;2;1;0;0;0;0;4;1;0;0;0;2;0;0;0;3;2;0;0;0
Nández;Nahitan;23;Uruguay;PrimeraDivisión;BocaJuniors;0;20;CentralMidfield;12500000;2;10;9;0;15;17;28;2;0;0;2;3;0;1;0;1;0;0;0;0;3;0;3;0;6;0;1;0
Höjbjerg;Pierre0Emile;23;Denmark;PremierLeague;Southampton;1;23;CentralMidfield;12000000;3;17;10;0;46;38;34;1;2;2;1;1;0;4;3;0;0;0;0;0;0;0;4;3;4;0;0;0
vanGinkel;Marco;26;Netherlands;PremierLeague;Chelsea;0;8;CentralMidfield;12000000;2;52;29;0;28;35;20;0;0;10;4;3;0;7;3;6;0;0;0;0;0;0;0;1;2;0;0;0
Hofmann;Jonas;26;Germany;Bundesliga;Bor.M'gladbach;5;10;CentralMidfield;12000000;2;56;48;0;72;94;20;0;0;8;0;0;0;0;0;0;0;0;0;1;2;0;10;3;0;0;0;0
Grujic;Marko;22;Serbia;Bundesliga;HerthaBSC;0;8;CentralMidfield;12000000;1;12;9;0;18;22;15;0;0;0;0;1;0;1;1;3;0;0;0;0;0;0;1;0;0;0;0;0
Bourigeaud;Benjamin;25;France;Ligue1;StadeRennais;0;2;CentralMidfield;12000000;3;23;18;0;30;48;18;0;1;5;4;4;0;3;5;3;0;0;1;0;1;0;2;2;0;0;0;0
Nkunku;Christopher;21;France;Ligue1;ParisSG;0;6;CentralMidfield;12000000;2;7;1;0;27;12;2;0;0;0;2;2;0;8;3;1;0;0;0;9;6;0;5;2;2;0;0;1
BadouNdiaye;;28;Senegal;SüperLig;Galatasaray;1;19;CentralMidfield;12000000;1;52;33;0;7;54;42;2;2;2;0;0;0;1;0;0;0;0;0;1;1;0;0;1;2;1;0;0
Vilhena;Tonny;24;Netherlands;Eredivisie;Feyenoord;0;15;CentralMidfield;12000000;2;42;22;0;31;22;25;0;0;1;4;4;0;2;3;3;0;0;0;1;2;0;1;3;3;1;0;0
Barak;Antonin;24;CzechRepublic;SerieA;UdineseCalcio;5;12;CentralMidfield;12000000;4;23;11;0;32;34;18;0;0;1;2;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0
Suárez;Denis;25;Spain;PremierLeague;Arsenal;0;1;CentralMidfield;12000000;1;22;33;0;55;37;13;0;0;3;6;4;0;11;6;0;0;0;0;4;8;0;11;7;3;0;0;0
Arnold;Maximilian;24;Germany;Bundesliga;VfLWolfsburg;0;1;CentralMidfield;11000000;4;59;37;0;39;73;61;0;2;3;0;0;0;0;0;0;0;0;0;1;2;0;8;2;5;0;0;0
Serdar;Suat;21;Germany;Bundesliga;FCSchalke04;2;5;CentralMidfield;11000000;4;19;13;0;37;53;23;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;3;4;1;0;0;0
Kuzyaev;Daler;26;Russia;PremierLiga;ZenitS0Pb;0;17;CentralMidfield;11000000;2;9;9;0;32;29;22;1;0;0;0;0;0;0;0;0;0;0;0;2;3;0;4;2;2;0;0;0
Hendrick;Jeff;27;Ireland;PremierLeague;Burnley;1;45;CentralMidfield;10000000;2;29;24;0;53;56;28;0;1;0;3;0;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Moutinho;João;32;Portugal;PremierLeague;Wolves;7;113;CentralMidfield;10000000;2;36;81;0;31;67;66;0;0;7;7;12;0;11;11;6;0;0;3;6;9;0;7;14;11;0;0;0
Savanier;Téji;27;France;Ligue1;NîmesOlympique;0;0;CentralMidfield;10000000;4;24;44;0;31;65;62;1;3;11;2;2;0;8;2;7;0;0;0;0;0;0;0;0;0;0;0;0
AïtBennasser;Youssef;22;Morocco;Ligue1;Saint0Étienne;0;14;CentralMidfield;10000000;1;4;5;0;8;26;16;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0
André;Benjamin;28;France;Ligue1;StadeRennais;0;7;CentralMidfield;10000000;4;18;24;0;39;82;59;2;1;0;2;2;0;6;10;3;0;0;0;0;1;0;0;0;2;0;0;0
Battaglia;Rodrigo;27;Argentina;LigaNOS;SportingCP;0;2;CentralMidfield;10000000;5;9;2;0;32;16;27;1;0;0;2;0;0;6;5;6;0;0;0;3;1;0;4;2;4;0;0;1
Campaña;José;25;Spain;LaLiga;Levante;0;3;CentralMidfield;10000000;2;11;23;0;28;52;45;1;0;0;0;1;0;4;4;2;0;0;0;0;0;0;1;0;0;0;0;0
Alcaraz;Rubén;27;Spain;LaLiga;RealValladolid;0;0;CentralMidfield;10000000;4;32;3;0;25;14;56;4;1;2;3;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Arambarri;Mauro;23;Uruguay;LaLiga;Getafe;3;18;CentralMidfield;10000000;5;2;7;0;14;31;29;1;0;0;0;0;0;1;4;6;0;0;0;0;0;0;0;0;0;0;0;0
Rosario;Pablo;22;Netherlands;Eredivisie;PSVEindhoven;0;1;CentralMidfield;10000000;2;11;5;0;16;25;21;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;1;1;0;0;0
Baselli;Daniele;26;Italy;SerieA;Torino;0;1;CentralMidfield;10000000;4;25;18;0;55;99;41;1;1;3;2;3;0;2;12;3;0;0;0;0;0;0;0;0;0;0;0;0
Ramires;;31;Brazil;SuperLeague;JSSuning;4;51;CentralMidfield;10000000;1;42;34;0;42;65;66;3;2;0;13;7;0;9;10;9;0;0;0;17;14;0;6;18;25;3;0;0
Cleverley;Tom;29;England;PremierLeague;Watford;0;13;CentralMidfield;9000000;4;27;22;0;42;65;25;1;1;0;2;5;0;2;7;4;0;0;0;0;1;0;2;5;1;0;0;0
Malong;PierreKunde;23;Cameroon;Bundesliga;1.FSVMainz05;0;5;CentralMidfield;9000000;4;18;0;0;20;26;19;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Sow;Djibril;21;Switzerland;SuperLeague;BSCYoungBoys;0;2;CentralMidfield;9000000;3;10;16;0;17;33;13;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;1;0;0;0
Malinovskyi;Ruslan;25;Ukraine;JupilerProLeague;KRCGenk;2;18;CentralMidfield;9000000;4;33;30;0;42;67;44;2;0;4;3;1;0;2;5;2;0;1;0;3;3;0;2;6;1;0;0;0
Gazinskiy;Yuri;29;Russia;PremierLiga;Krasnodar;1;16;CentralMidfield;9000000;3;14;30;0;39;68;41;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;10;3;6;0;0;0
Donsah;Godfred;22;Ghana;SerieA;Bologna;0;1;CentralMidfield;9000000;4;10;7;0;22;31;10;1;0;0;1;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Armstrong;Stuart;26;Scotland;PremierLeague;Southampton;1;10;CentralMidfield;8000000;4;46;51;0;79;98;14;1;0;0;6;5;0;4;9;2;0;0;0;1;0;0;3;8;1;0;0;0
Obiang;Pedro;26;EquatorialGuinea;PremierLeague;WestHam;0;1;CentralMidfield;8000000;4;9;13;0;44;49;49;1;0;0;0;0;0;3;9;5;0;0;0;0;0;0;0;1;0;0;0;0
Laimer;Konrad;21;Austria;Bundesliga;RBLeipzig;2;13;CentralMidfield;8000000;3;13;13;1;33;56;27;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;7;10;0;0;0
Ndong;Didier;24;Gabon;Ligue1;Guingamp;0;19;CentralMidfield;8000000;;5;10;0;10;10;32;1;3;0;0;1;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0
LeesMelou;Pierre;25;France;Ligue1;OGCNice;0;0;CentralMidfield;8000000;3;15;10;1;12;32;13;0;1;1;0;0;0;2;1;0;0;0;0;0;1;0;0;2;1;0;0;0
López;Maxime;21;France;Ligue1;Marseille;0;11;CentralMidfield;8000000;3;4;11;0;18;30;8;0;0;0;0;3;0;2;2;1;0;0;0;2;5;0;6;8;4;0;0;0
Maycon;;21;Brazil;PremierLiga;ShakhtarD.;1;8;CentralMidfield;8000000;5;5;8;0;16;14;10;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;2;3;0;0;0;0
Trebel;Adrien;27;France;JupilerProLeague;RSCAnderlecht;1;10;CentralMidfield;8000000;5;13;29;0;49;70;36;1;2;0;6;2;0;3;6;2;0;0;0;0;1;0;0;3;5;0;0;0
Gabriel;;25;Brazil;LigaNOS;Benfica;0;0;CentralMidfield;8000000;5;20;15;0;18;46;32;1;1;1;2;0;0;3;6;5;0;0;0;0;0;0;2;0;0;0;0;0
Jordán;Joan;24;Spain;LaLiga;SDEibar;0;0;CentralMidfield;8000000;2;24;11;1;31;28;28;2;0;1;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Maksimovic;Nemanja;24;Serbia;LaLiga;Getafe;0;10;CentralMidfield;8000000;6;15;7;0;21;19;10;0;0;0;1;1;0;2;2;1;0;0;0;1;0;0;0;0;1;0;0;0
Darder;Sergi;25;Spain;LaLiga;Espanyol;0;4;CentralMidfield;8000000;5;11;8;0;26;64;31;1;1;0;2;4;0;8;7;4;0;0;0;1;1;0;2;7;2;0;0;0
Rog;Marko;23;Croatia;LaLiga;SevillaFC;0;16;CentralMidfield;8000000;1;22;13;0;68;38;29;0;0;1;0;1;0;0;1;2;0;0;0;0;1;0;10;3;2;0;0;0
Elmas;Eljif;19;Macedonia;SüperLig;Fenerbahce;0;5;CentralMidfield;7500000;4;9;8;0;20;20;14;0;0;0;0;1;0;1;2;1;0;1;0;0;0;0;0;1;3;0;0;0
Wendel;;21;Brazil;LigaNOS;SportingCP;0;0;CentralMidfield;7500000;5;5;2;0;7;13;5;0;0;0;3;0;0;3;5;1;0;0;0;0;3;0;0;0;0;0;0;0
Granell;Álex;30;Spain;LaLiga;Girona;0;0;CentralMidfield;7500000;3;15;32;0;27;45;46;1;0;5;2;1;0;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Gutiérrez;Érick;23;Mexico;Eredivisie;PSVEindhoven;0;13;CentralMidfield;7500000;5;21;27;0;29;25;17;0;0;0;1;0;0;0;0;0;0;0;0;5;3;0;6;4;2;0;0;0
Berisha;Valon;25;Kosovo;SerieA;Lazio;1;14;CentralMidfield;7500000;5;44;68;0;46;78;22;0;1;6;0;0;0;1;0;0;0;0;0;5;4;0;12;7;2;0;0;3
Uribe;Mateus;27;Colombia;LigaMXClausura;América;0;12;CentralMidfield;7500000;2;22;10;0;15;25;35;4;5;5;1;0;0;1;0;3;0;1;0;4;1;0;1;1;1;0;1;1
Arter;Harry;29;Ireland;PremierLeague;Cardiff;0;15;CentralMidfield;7000000;1;29;19;0;27;71;81;2;1;3;1;1;0;7;5;6;0;0;0;0;0;0;0;0;0;0;0;0
Defour;Steven;30;Belgium;PremierLeague;Burnley;2;52;CentralMidfield;7000000;2;28;58;0;47;136;68;1;0;5;8;7;0;6;28;7;0;0;0;1;6;0;10;13;8;1;0;0
McCarthy;James;28;Ireland;PremierLeague;Everton;0;41;CentralMidfield;7000000;2;27;20;1;33;66;48;1;0;0;1;2;0;8;4;6;0;0;0;0;0;0;1;5;0;0;0;0
Noble;Mark;31;England;PremierLeague;WestHam;3;20;CentralMidfield;7000000;3;48;49;1;29;95;89;3;2;29;4;9;0;9;12;5;0;0;0;0;0;0;0;0;0;0;0;0
McTominay;Scott;22;Scotland;PremierLeague;ManUtd;0;5;CentralMidfield;7000000;5;3;0;0;16;7;8;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;1;2;0;0;0
Cheikh;Pape;21;Spain;Ligue1;OlympiqueLyon;0;3;CentralMidfield;7000000;4;3;0;0;32;17;12;0;1;0;0;0;0;2;4;1;0;0;0;0;0;0;3;0;0;0;0;0
Marin;Razvan;22;Romania;JupilerProLeague;StandardLiège;1;12;CentralMidfield;7000000;5;16;25;0;45;26;27;0;1;3;4;4;0;0;2;4;0;0;0;3;1;0;1;1;1;0;0;2
Vormer;Ruud;30;Netherlands;JupilerProLeague;ClubBrugge;0;4;CentralMidfield;7000000;4;54;53;0;46;44;58;2;2;5;6;7;0;3;7;6;0;0;0;2;3;0;7;1;4;0;0;0
Oliveira;Sérgio;26;Portugal;SuperLeague;PAOKSalonika;0;3;CentralMidfield;7000000;1;19;10;0;52;42;40;3;0;2;6;5;0;12;8;2;0;0;0;1;0;0;7;4;3;0;0;0
Mesa;Roque;29;Spain;LaLiga;SevillaFC;0;0;CentralMidfield;7000000;3;14;15;0;40;67;55;3;0;4;0;1;0;5;8;5;0;0;0;1;0;0;2;0;2;0;0;0
Castro;Lucas;29;Argentina;SerieA;CagliariCalcio;0;0;CentralMidfield;7000000;3;29;30;0;67;61;39;1;0;0;6;2;0;7;8;7;0;0;0;0;0;0;0;0;0;0;0;0
Sturaro;Stefano;25;Italy;SerieA;Genoa;0;4;CentralMidfield;7000000;1;5;6;0;34;42;33;2;1;0;0;2;0;3;5;2;0;0;0;1;1;0;9;4;5;0;0;0
Soriano;Roberto;27;Italy;SerieA;Bologna;0;8;CentralMidfield;7000000;1;35;21;0;74;89;49;4;1;1;2;1;0;2;5;5;0;0;0;0;1;0;5;4;1;0;0;0
Traorè;HamedJunior;18;Coted'Ivoire;SerieA;FCEmpoli;0;0;CentralMidfield;7000000;1;18;13;0;15;20;12;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Krunic;Rade;25;Bosnia0Herzegovina;SerieA;FCEmpoli;0;8;CentralMidfield;7000000;3;18;23;0;24;61;39;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Grassi;Alberto;23;Italy;SerieA;Parma;0;12;CentralMidfield;7000000;1;8;0;0;31;32;16;2;2;0;1;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0
Pasalic;Mario;23;Croatia;SerieA;Atalanta;0;8;CentralMidfield;7000000;1;31;13;0;39;49;24;0;0;0;3;1;0;8;2;0;0;0;0;0;0;0;3;6;0;0;0;0
Sensi;Stefano;23;Italy;SerieA;Sassuolo;0;0;CentralMidfield;7000000;2;26;9;0;22;42;40;2;1;7;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Iniesta;Andrés;34;Spain;J1League;VisselKobe;13;136;CentralMidfield;6750000;3;38;95;0;128;128;39;0;0;1;11;18;0;14;24;8;0;0;0;11;29;0;24;51;14;0;0;0
Cuisance;Michaël;19;France;Bundesliga;Bor.M'gladbach;0;4;CentralMidfield;6500000;5;1;4;0;24;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Özyakup;Oguzhan;26;Turkey;SüperLig;Besiktas;1;41;CentralMidfield;6500000;4;33;50;0;47;78;37;2;1;3;1;10;0;8;5;6;0;0;1;2;8;0;12;12;7;0;0;0
Gudelj;Nemanja;27;Serbia;LigaNOS;SportingCP;1;22;CentralMidfield;6500000;1;35;28;2;18;21;33;2;2;5;1;2;0;6;5;4;0;0;0;2;5;0;1;5;6;1;0;0
Camarasa;Víctor;24;Spain;PremierLeague;Cardiff;0;4;CentralMidfield;6000000;1;11;7;0;35;61;28;0;0;1;1;1;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0
Stephens;Dale;29;England;PremierLeague;Brighton;0;0;CentralMidfield;6000000;3;36;35;0;30;30;55;1;2;3;3;0;0;0;7;2;0;0;1;0;0;0;0;0;0;0;0;0
McArthur;James;31;Scotland;PremierLeague;CrystalPalace;4;32;CentralMidfield;6000000;3;37;23;0;59;85;69;0;1;0;3;4;0;5;10;6;1;0;0;0;0;0;0;2;1;0;0;0
Gerhardt;Yannick;24;Germany;Bundesliga;VfLWolfsburg;0;1;CentralMidfield;6000000;3;26;28;0;36;52;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Akhmetov;Ilzat;21;Russia;PremierLiga;CSKAMoscow;2;6;CentralMidfield;6000000;4;0;5;0;26;15;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;1;0;0;0
Valverde;Federico;20;Uruguay;LaLiga;RealMadrid;1;8;CentralMidfield;6000000;3;3;2;0;26;15;7;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;2;1;3;0;0;0
Lerager;Lukas;25;Denmark;SerieA;Genoa;1;8;CentralMidfield;6000000;1;13;10;0;14;49;44;1;0;0;1;1;0;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0
Fernandes;Edimilson;22;Switzerland;SerieA;Fiorentina;0;8;CentralMidfield;6000000;1;17;20;0;42;56;33;1;1;0;1;0;0;0;3;0;0;0;0;0;2;0;0;0;2;0;0;0
Horta;André;22;Portugal;MLS;LosAngelesFC;3;9;CentralMidfield;6000000;2;4;10;0;27;30;10;0;0;0;0;1;0;7;4;2;0;0;0;0;0;0;3;2;0;0;0;0
Fernández;Guillermo;27;Argentina;PrimeraDivisión;RacingClub;0;0;CentralMidfield;6000000;4;15;9;0;33;32;26;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;0;0;0
Fernández;Ignacio;29;Argentina;PrimeraDivisión;RiverPlate;0;1;CentralMidfield;6000000;3;15;12;0;33;54;22;1;1;0;0;0;0;1;1;0;0;0;0;5;5;0;4;14;6;1;0;0
Loiodice;Enzo;18;France;Ligue1;Dijon;0;3;CentralMidfield;5500000;3;0;1;0;4;3;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Marchisio;Claudio;33;Italy;PremierLiga;ZenitS0Pb;5;55;CentralMidfield;5500000;2;35;34;0;43;79;74;0;1;2;1;2;0;6;7;8;0;0;0;3;7;0;13;10;16;0;0;1
Paterson;Callum;24;Scotland;PremierLeague;Cardiff;0;12;CentralMidfield;5000000;4;52;24;1;22;25;40;0;2;0;1;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Ralls;Joe;25;England;PremierLeague;Cardiff;0;1;CentralMidfield;5000000;4;20;18;0;33;33;32;0;2;7;2;0;0;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0
Diamé;Mohamed;31;Senegal;PremierLeague;Newcastle;1;35;CentralMidfield;5000000;1;33;14;0;53;114;47;1;0;0;5;1;0;6;8;1;0;0;0;0;0;0;0;0;0;0;0;0
Haberer;Janik;24;Germany;Bundesliga;SCFreiburg;1;9;CentralMidfield;5000000;2;40;23;0;44;93;41;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kohr;Dominik;25;Germany;Bundesliga;Bay.Leverkusen;0;4;CentralMidfield;5000000;3;23;16;0;64;73;78;3;0;0;0;0;0;0;0;0;0;0;0;2;3;0;3;2;8;0;0;0
Blas;Ludovic;21;France;Ligue1;Guingamp;1;14;CentralMidfield;5000000;2;5;9;0;39;17;11;1;0;0;1;0;0;5;3;0;0;1;0;0;0;0;0;0;0;0;0;0
Tchouaméni;Aurélien;19;France;Ligue1;G.Bordeaux;0;7;CentralMidfield;5000000;4;1;0;0;2;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Sankharé;Younousse;29;Senegal;Ligue1;G.Bordeaux;1;8;CentralMidfield;5000000;3;36;26;0;55;53;70;3;3;0;4;2;0;6;4;6;0;0;1;1;1;0;2;2;4;0;0;0
Martin;Jonas;28;France;Ligue1;R.Strasbourg;0;1;CentralMidfield;5000000;2;18;12;0;41;62;37;0;0;7;2;2;0;3;5;4;1;0;1;0;0;0;1;0;0;0;0;0
LéaSiliki;James;22;France;Ligue1;StadeRennais;0;3;CentralMidfield;5000000;3;3;4;0;21;11;7;1;0;0;0;0;0;3;3;1;0;0;0;0;0;0;1;1;1;0;0;0
Grenier;Clément;28;France;Ligue1;StadeRennais;0;5;CentralMidfield;5000000;3;22;30;0;49;44;25;1;1;3;2;2;0;11;6;5;0;0;0;3;5;0;4;6;2;0;0;0
Hrosovsky;Patrik;26;Slovakia;FortunaLiga;ViktoriaPlzen;0;21;CentralMidfield;5000000;3;14;18;0;24;27;19;0;0;2;1;0;0;3;3;0;0;0;0;2;3;0;0;0;3;0;0;0
TchêTchê;;26;Brazil;PremierLiga;DynamoKyiv;0;0;CentralMidfield;5000000;5;1;3;0;10;18;10;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;3;2;0;0;0
Kahveci;IrfanCan;23;Turkey;SüperLig;Basaksehir;0;6;CentralMidfield;5000000;3;19;15;0;46;78;28;1;0;1;5;6;0;9;8;2;0;0;0;0;1;0;0;3;1;0;0;0
Arslan;Tolgay;28;Germany;SüperLig;Fenerbahce;0;3;CentralMidfield;5000000;4;49;30;0;79;96;44;0;2;6;1;1;0;4;5;3;0;0;0;1;0;0;7;10;7;0;0;0
Mamaev;Pavel;30;Russia;PremierLiga;Krasnodar;0;15;CentralMidfield;5000000;1;44;38;0;82;108;54;1;1;11;0;0;0;0;0;0;0;0;0;2;5;0;14;14;9;0;0;1
André;André;29;Portugal;LigaNOS;Vit.Guimarães;1;4;CentralMidfield;5000000;3;31;18;0;49;59;59;0;0;15;5;2;0;10;11;9;0;0;2;3;1;0;7;5;5;0;0;0
Guardado;Andrés;32;Mexico;LaLiga;RealBetis;25;152;CentralMidfield;5000000;2;36;59;0;30;88;49;1;0;6;1;2;1;6;5;1;0;0;0;0;3;0;1;8;9;0;0;0
Bessa;Daniel;26;Italy;SerieA;Genoa;0;0;CentralMidfield;5000000;1;29;20;0;43;65;38;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Murgia;Alessandro;22;Italy;SerieA;SPAL;1;13;CentralMidfield;5000000;1;24;8;0;23;29;25;0;1;3;1;1;0;4;1;2;0;0;0;1;1;0;1;3;2;0;0;0
Kurtic;Jasmin;30;Slovenia;SerieA;SPAL;1;46;CentralMidfield;5000000;3;24;18;0;33;77;55;2;0;0;0;1;0;3;4;1;0;1;0;0;1;0;3;1;2;0;0;0
Vieira;Ronaldo;20;England;SerieA;Sampdoria;0;11;CentralMidfield;5000000;5;1;3;0;18;16;12;1;0;0;1;1;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Bertolacci;Andrea;28;Italy;SerieA;ACMilan;0;5;CentralMidfield;5000000;1;24;21;0;43;70;48;1;1;2;1;0;0;2;3;2;0;0;0;0;0;0;2;2;1;0;0;0
Darida;Vladimir;28;CzechRepublic;Bundesliga;HerthaBSC;4;53;CentralMidfield;5000000;3;38;38;0;33;65;40;0;2;6;0;0;0;0;0;0;0;0;0;4;2;0;5;3;5;0;0;0
Pineda;Orbelín;22;Mexico;LigaMXClausura;CDCruzAzul;1;15;CentralMidfield;5000000;;16;13;0;25;48;19;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;1;0
DeBruyne;Kevin;27;Belgium;PremierLeague;ManCity;15;68;AttackingMidfield;150000000;5;64;124;0;38;96;29;2;0;0;12;8;0;8;14;1;0;0;0;10;11;0;5;11;9;0;0;0
Coutinho;Philippe;26;Brazil;LaLiga;FCBarcelona;13;45;AttackingMidfield;140000000;5;63;49;0;51;106;16;3;0;1;11;5;0;10;12;3;0;0;3;9;9;0;12;16;4;0;0;1
Alli;Dele;22;England;PremierLeague;Spurs;3;33;AttackingMidfield;100000000;6;64;42;0;22;65;33;0;0;1;10;9;0;15;10;8;0;0;1;3;9;0;2;7;4;0;1;0
Eriksen;Christian;26;Denmark;PremierLeague;Spurs;25;85;AttackingMidfield;80000000;2;75;112;0;30;74;15;0;0;0;12;15;0;13;6;1;0;0;0;12;17;0;13;13;4;0;0;0
Isco;;26;Spain;LaLiga;RealMadrid;12;36;AttackingMidfield;75000000;4;49;48;0;68;99;25;3;1;2;8;5;0;10;14;3;0;0;1;8;11;0;15;31;6;0;0;0
Fekir;Nabil;25;France;Ligue1;OlympiqueLyon;2;20;AttackingMidfield;70000000;2;51;31;0;20;54;26;0;1;7;5;4;0;3;2;0;0;0;1;10;7;0;8;9;7;0;0;1
Havertz;Kai;19;Germany;Bundesliga;Bay.Leverkusen;0;2;AttackingMidfield;65000000;4;43;21;0;22;24;13;0;0;3;0;0;0;0;0;0;0;0;0;3;4;0;3;2;2;0;0;0
Rodríguez;James;27;Colombia;Bundesliga;BayernMunich;21;66;AttackingMidfield;65000000;1;76;87;0;62;89;20;0;1;5;12;15;0;9;17;5;1;0;2;11;17;0;18;38;12;0;0;0
Reus;Marco;29;Germany;Bundesliga;Bor.Dortmund;10;37;AttackingMidfield;50000000;5;160;88;0;44;145;44;1;1;12;0;0;0;0;0;0;0;0;0;22;17;0;2;23;6;0;0;1
Sarabia;Pablo;26;Spain;LaLiga;SevillaFC;4;23;AttackingMidfield;40000000;2;40;42;0;59;66;54;2;0;3;10;6;0;11;8;2;0;0;0;3;3;0;9;6;2;1;0;1
Özil;Mesut;30;Germany;PremierLeague;Arsenal;23;92;AttackingMidfield;35000000;3;83;157;0;65;152;33;0;2;3;6;16;0;8;15;3;0;1;0;13;39;0;8;33;8;0;0;0
Ziyech;Hakim;25;Morocco;Eredivisie;AFCAjax;10;22;AttackingMidfield;35000000;3;85;81;0;11;61;33;0;0;5;7;4;0;0;6;1;0;0;1;2;6;0;2;5;2;1;0;0
Nainggolan;Radja;30;Belgium;SerieA;Inter;6;30;AttackingMidfield;35000000;4;43;34;0;33;76;84;3;0;0;2;1;0;4;4;4;0;0;0;4;7;0;4;11;7;0;0;1
Sigurdsson;Gylfi;29;Iceland;PremierLeague;Everton;20;64;AttackingMidfield;30000000;4;88;54;0;68;80;24;0;0;16;11;3;0;6;5;1;0;1;1;3;6;0;8;6;1;0;0;0
Maddison;James;22;England;PremierLeague;Leicester;0;0;AttackingMidfield;30000000;5;27;23;0;29;45;15;2;0;5;2;7;0;7;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Mkhitaryan;Henrikh;30;Armenia;PremierLeague;Arsenal;26;80;AttackingMidfield;30000000;3;117;88;0;52;86;36;0;0;2;1;4;0;1;6;0;0;0;0;14;11;0;6;24;12;0;0;0
